id,type,usage,superficie,ville,localisation,description,prix,option,statut
1,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-DE-252-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY-A-12.000.000,12000000.0,VENTE,PUBLIEE
2,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-250-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY2-A-11.000.000,11000000.0,VENTE,PUBLIEE
3,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-200-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY1-A-12.500.000,12500000.0,VENTE,PUBLIEE
4,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-350-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAMADIN2-A-15.000.000,15000000.0,VENTE,PUBLIEE
5,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-300-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAMADIN1-A-14.000.000,14000000.0,VENTE,PUBLIEE
6,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-350-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAMADIN1-A-14.500.000,14500000.0,VENTE,PUBLIEE
7,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-150-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAGHIN-A-16.500.000,16500000.0,VENTE,PUBLIEE
8,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,TRÈS-BONNE-OPPORTUNITÉ-D’UNE-PARCELLE-DE-660-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SOMGANDE-A-15.500.000,15500000.0,VENTE,PUBLIEE
9,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,TRÈS-BONNE-OPPORTUNITÉ-D’UNE-PARCELLE-DE-500-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SOMGANDE-A-16.500.000,16500000.0,VENTE,PUBLIEE
10,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-BELLE-PARCELLE-D’UNE-SUPERFICIE-DE-418-M²-EN-VENTE-A-OUAGA2000-EXTENSION-SUD-A-14.000.000,14000000.0,VENTE,PUBLIEE
11,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-GRANDE-PARCELLE-DUNE-SUPERFICIE-DE-5000-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-RIMKIETA-A-10.500.000,10500000.0,VENTE,PUBLIEE
12,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-AVEC-BÂTI-DE-254-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY-A-10.000.000,10000000.0,VENTE,PUBLIEE
13,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-CLÔTURÉE-D’UNE-SUPERFICIE-DE-400-M²-EN-VENTE-À-OUAGA2000-EXTENSION-SUD-A-32.500.000,32500000.0,VENTE,PUBLIEE
14,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-CLÔTURÉE-DE-TYPE-PAN-COUPE-DE-5.083-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-OUAGA2000-A-44.500.000,44500000.0,VENTE,PUBLIEE
15,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-D’UNE-SUPERFICIE-DE-7-520-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-KAMBOINSE-A-9.000.000,9000000.0,VENTE,PUBLIEE
16,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-D’UNE-SUPERFICIE-DE-240-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-BONHEUR-VILLE-A-20.000.000,20000000.0,VENTE,PUBLIEE
17,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-D’UNE-SUPERFICIE-DE-352-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-BAROGO-A-8.000.000,8000000.0,VENTE,PUBLIEE
18,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-DE-366-M2-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TENGANDOGO-A-10.000.000,10000000.0,VENTE,PUBLIEE
19,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-DE-400-M²-EN-VENTE-A-KAMBOINSE-A-14.000.000,14000000.0,VENTE,PUBLIEE
20,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-DE-450-M²-EN-VENTE-À-OUAGADOUGOU-QUARTIER-KALGONDE-A-13.250.000,13250000.0,VENTE,PUBLIEE
21,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-F5-AVEC-PISCINE-ANNEXE-CONSTRUITE-SUR-UNE-PARCELLE-DE-546-M²-EN-VENTE-A-KOULOUBA-A-80.500.000,80500000.0,VENTE,PUBLIEE
22,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DE-TYPE-F4-NOUVELLE-CONSTRUCTION-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-BASSINKO-A-1.500.000/années,10000000.0,LOCATION,PUBLIEE
23,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DE-TYPE-F4-EN-LOCATION-A-LA-CITE-AZIMMO-DE-TAMPOUY-A-45.500.000,45500000.0,LOCATION,PUBLIEE
24,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DE-TYPE-F4-BATIMENT-SUR-UNE-PARCELLE-DE-300-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-ZONE-I-A-60.000.000,60000000.0,VENTE,PUBLIEE
25,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DE-TYPE-F3-EN-LOCATION-A-LA-CITE-DE-LA-DIASPORA-A-GUIGUEMTENGA-A-35.500.000,35500000.0,LOCATION,PUBLIEE
26,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-TRES-BELLE-VILLA-EQUIPEE-EN-LOCATION-A-LA-ZONE-DU-BOIS-A-45.600.000,45600000.0,LOCATION,PUBLIEE
27,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-SUPERBE-VILLA-DE-TYPE-F5-BATIMENT-SUR-UNE-PARCELLE-DE-563-M²-EN-A-OUAGADOUGOU-QUARTIER-PISSY-A-53.600.000,53600000.0,VENTE,PUBLIEE
28,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-MAISON-DE-TYPE-F3-BÂTIMENT-SUR-UNE-PARCELLE-DE-384-M²-EN-VENTE-À-OUAGADOUGOU-QUARTIER-ZONE-I-A-45.700.000,45700000.0,VENTE,PUBLIEE
29,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-BELLE-VILLA-DE-TYPE-F5-A-LOUER-A-OUAGADOUGOU-QUARTIER-NAGRIN-A-35.600.000,35600000.0,VENTE,PUBLIEE
30,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-BELLE-VILLA-DE-TYPE-F4-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SAABA-A-41.600.000,41600000.0,LOCATION,PUBLIEE
31,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-BELLE-VILLA-DE-TYPE-F4-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SAABA-A-40.100.000,40100000.0,LOCATION,PUBLIEE
32,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-BELLE-VILLA-DE-TYPE-F4-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SAABA-A-40.000.000,40000000.0,LOCATION,PUBLIEE
33,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DEUX-MINI-VILLAS-NOUVELLE-CONSTRUCTION-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-TENGANDOGO-A-40.800.000,40800000.0,LOCATION,PUBLIEE
34,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DEUX-MINI-VILLAS-NOUVELLE-CONSTRUCTION-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-GARGHIN-A-40.050.000,40050000.0,LOCATION,PUBLIEE
35,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DEUX-MINI-VILLAS-EN-LOCATION-TENGANDOGO-GNAMIAN-BAZI-A-30.900.000,30900000.0,LOCATION,PUBLIEE
36,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-MINI-VILLAS-EN-LOCATION-TENGANDOGO-GNAMIAN-A-30.100.000,30100000.0,LOCATION,PUBLIEE
37,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,NE-SUPERBE-VILLA-DE-TYPE-F5-BATIMENT-SUR-UNE-PARCELLE-DE-569s-M²-EN-A-OUAGADOUGOU-QUARTIER-PISSY-A-50.100.000,50100000.0,VENTE,PUBLIEE
38,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DE-TYPE-F4-EN-LOCATION-A-LA-CITE-AZIMMO-DE-TAMPOUY-A-29.100.000,29100000.0,LOCATION,PUBLIEE
39,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DE-TYPE-F4-NOUVELLE-CONSTRUCTION-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-BASSINKO-A-28.100.000,28100000.0,LOCATION,PUBLIEE
40,VILLA,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-MAISON-DE-TYPE-F3-BÂTIMENT-SUR-UNE-PARCELLE-DE-384-M²-EN-VENTE-À-OUAGADOUGOU-QUARTIER-ZONE-I-A-60.100.000,60100000.0,VENTE,PUBLIEE
41,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-MAGNIFIQUE-DUPLEX-DE-TYPE-F9-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-BONHEUR-VILLE-A-10.000.000/année,10000000.0,LOCATION,PUBLIEE
42,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-MAGNIFIQUE-DUPLEX-DE-TYPE-F4-AVEC-PISCINE-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SOMGANDE-A-75.000.000,75000000.0,LOCATION,PUBLIEE
43,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-IMMEUBLE-R6-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SANYIRI-11.000.000/année,10000000.0,LOCATION,PUBLIEE
44,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-IMMEUBLE-R3-EN-LOCATION-À-OUAGADOUGOU-QUARTIER-CISSIN-A-16.000.000/année,10000000.0,LOCATION,PUBLIEE
45,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-GRAND-DUPLEX-À-RÉNOVER-BÂTI-SUR-UNE-PARCELLE-DE-TYPE-PAN-COUPE-DE-775-M²-EN-VENTE-À-OUAGADOUGOU-QUARTIER-SAMADIN-A-115.000.000,115000000.0,VENTE,PUBLIEE
46,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-VILLA-DUPLEX-DE-TYPE-F7-BATI-SUR-UNE-PARCELLE-DE-360-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TENGANDOGO-A-75.000.000,75000000.0,VENTE,PUBLIEE
47,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-DUPLEX-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-ZOGONA-A-15.000.000/année,10000000.0,LOCATION,PUBLIEE
48,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-APPARTEMENT-DE-06-PIECES-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-WAYALGHIN-A-10.000.000/année,10000000.0,LOCATION,PUBLIEE
49,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-DUPLEX-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-ZOGONA-A-17.000.000/année,10000000.0,LOCATION,PUBLIEE
50,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-IMMEUBLE-R6-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SANYIRI-A-20.500.000/année,10000000.0,LOCATION,PUBLIEE
51,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-IMMEUBLE-R3-EN-LOCATION-À-OUAGADOUGOU-QUARTIER-CISSIN-A-90.100.000,90100000.0,LOCATION,PUBLIEE
52,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DES-BUREAUX-SITUES-SUR-UN-IMMEUBLE-R5-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-1200-LOGEMENTS-A-25.100.000/année,10000000.0,LOCATION,PUBLIEE
53,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DES-BUREAUX-SITUES-SUR-UN-IMMEUBLE-R3-EN-LOCATION-A-BOINSYAARE-A-10.000.000/année,10000000.0,LOCATION,PUBLIEE
54,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DES-BUREAUX-EN-LOCATION-SUR-UN-IMMEUBLE-R2-A-OUAGA2000-ZONE-C-–-EN-BORDURE-DU-BOULEVARD-MOUAMMAR-KADHAFI-A-40.000.000/année,10000000.0,LOCATION,PUBLIEE
55,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DES-BUREAUX-EN-LOCATION-SUR-UN-IMMEUBLE-R2-A-OUAGA2000-ZONE-C-–-EN-BORDURE-DU-BOULEVARD-MOUAMMAR-KADHAFI-A-45.000.000/année,10000000.0,LOCATION,PUBLIEE
56,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,N-APPARTEMENT-DE-06-PIECES-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-WAYALGHIN-A-18.000.000/année,10000000.0,LOCATION,PUBLIEE
57,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,DES-BUREAUX-SITUES-SUR-UN-IMMEUBLE-R3-EN-LOCATION-A-BOINSYAARE-A-11.000.000/année,10000000.0,LOCATION,PUBLIEE
58,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-IMMEUBLE-R3-EN-LOCATION-À-OUAGADOUGOU-QUARTIER-CISSIN-A-9.000.000/année,10000000.0,LOCATION,PUBLIEE
59,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-MAGNIFIQUE-DUPLEX-DE-TYPE-F9-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-BONHEUR-VILLE-A-12.000.000/année,10000000.0,LOCATION,PUBLIEE
60,APPARTEMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-DUPLEX-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-ZOGONA-A-1.000.000/année,10000000.0,LOCATION,PUBLIEE
61,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-MAGNIFIQUE-TRIPLEX-DE-TYPE-F6-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-ZOGONA-A-1.000.000-CFA/mois,10000000.0,LOCATION,PUBLIEE
62,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-DE-STANDING-AVEC-PISCINE-EN-VENTE-A-OUAGADOUGOU-QUARTIER-OUAGA-2000-A-91.000.000-CFA,10000000.0,VENTE,PUBLIEE
63,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-SPACIEUX-TRIPLEX-DE-TYPE-F7-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-BONHEUR-VILLE-A-1.200.000-CFA/mois,10000000.0,LOCATION,PUBLIEE
64,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-MODERNE-DE-TYPE-F5-EN-VENTE-A-OUAGADOUGOU-QUARTIER-CISSIN-A-61.000.000-CFA,10000000.0,VENTE,PUBLIEE
65,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-GRAND-TRIPLEX-BATI-SUR-UNE-PARCELLE-DE-500-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-KARPALA-A-81.000.000-CFA,10000000.0,VENTE,PUBLIEE
66,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-DE-LUXE-AVEC-GARAGE-DOUBLE-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-KOULOUBA-A-900.000-CFA/mois,10000000.0,LOCATION,PUBLIEE
67,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-DE-TYPE-F8-AVEC-TERRASSE-EN-VENTE-A-OUAGADOUGOU-QUARTIER-WAYALGHIN-A-63.000.000-CFA,10000000.0,VENTE,PUBLIEE
68,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-MEUBLE-DE-TYPE-F6-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-GOUNGHIN-A-1.500.000-CFA/mois,10000000.0,LOCATION,PUBLIEE
69,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-MAGNIFIQUE-TRIPLEX-DE-STANDING-EN-VENTE-A-OUAGADOUGOU-QUARTIER-PATTE-D'OIE-A-65.000.000-CFA,10000000.0,VENTE,PUBLIEE
70,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-DE-TYPE-F7-AVEC-JARDIN-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-TANGHIN-A-1.600.000-CFA/mois,10000000.0,LOCATION,PUBLIEE
71,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-MODERNE-AVEC-PISCINE-ET-DEPENDANCE-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAABA-A-51.000.000-CFA,10000000.0,VENTE,RETIREE
72,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-VASTE-TRIPLEX-DE-TYPE-F9-EN-VENTE-A-OUAGADOUGOU-QUARTIER-OUAGA-2000-A-54.000.000-CFA,10000000.0,VENTE,RETIREE
73,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-DE-HAUT-STANDING-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-CISSIN-A-2.000.000-CFA/mois,10000000.0,LOCATION,RETIREE
74,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-AVEC-TOIT-TERRASSE-EN-VENTE-A-OUAGADOUGOU-QUARTIER-ZAD-A-63.000.000-CFA,10000000.0,VENTE,RETIREE
75,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-ELEGANT-TRIPLEX-DE-TYPE-F6-EN-LOCATION-A-OUAGADOUGOU-QUARTIER-SOMGANDE-A-1.000.000-CFA/mois,10000000.0,LOCATION,RETIREE
76,BATIMENT,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UN-TRIPLEX-DE-STANDING-DE-TYPE-F7-AVEC-PISCINE-EN-VENTE-A-OUAGADOUGOU-QUARTIER-BONHEUR-VILLE-A-58.000.000-CFA,10000000.0,VENTE,RETIREE
77,COMMERCE,COMMERCE,250.0,bobo,patte d oie,,100000.0,LOCATION,PUBLIEE
